ネタメモ：ゾーニング,,
4,通帳残高見て今月も利益出たわって安心してたら経営とは呼べません,
5,キャッシュフローを営業・投資・財務の3つに分けて見ることから経営は始まります,
6,自分なりにちゃんと経営してるつもりやったのに…って通帳見て急に不安になったことある人は必見です,
7,"まずは、状態が良好な型を４つ紹介します
・安定型：全部プラスの超健康体
・改善型：稼いで返済してる改善期
・積極型：攻めの設備投資中
・健全型：返済も投資も内部でまかなう堅実型",
8,"次に注意すべき型
“黒字倒産予備軍”がここに多いです
・救済型：赤字を借入と資産売却でしのぐ
・リストラ型：売上ないけど資産で返済
・勝負型：借金して再起を狙ってる状態
・大幅見直し型：全マイナス。緊急手術レベル",
9,"利益出てるのに現金ない方は救済型 or リストラ型の型に入ってるかもしれません
頑張ってるのにしんどいなら一度確認してください",
10,"このように利益より、現金残ってるかがホンマの経営偏差値です
型を知ることで、改善点が見える
通帳見てモヤっとしたら、それがサイン",
11,あなたのお店はどの型でしたか？,
12,,
13,,
14,,
15,,
16,,
17,,
,,
ネタメモ：飲食店の店舗アカウントのプロフィール,,
シーン,①セリフを考える（ライティング）,
1,そのプロフィールが、集客の足引っぱってるんですよ,
2,リール回ってんのにフォロワー全然増えへん…って悩んでませんか？,
3,何も考えずに、リンク2つ貼ってたり、ハイライト10枚とか…してません？,
4,それ出口のない導線になってます,
5,このままやとせっかく伸びた投稿も記憶に残らん通行人で終わります,
6,フォロワー伸ばしたいなら最初に見る場所が整ってるのって当たり前やと思いません？,
7,投稿内容ばっかり気にしてプロフィールって後回しになりがちですよね,
8,見られてるのは投稿やと思ったって正直なとこないですか？,
9,リールで知ってくれてフォローするか判断してるのは投稿内容じゃなくてプロフィールなんです,
10,今日はリールは伸びるのにフォロワーが増えへん理由をプロフィール構造から解き明かします,
11,これ知らんままやと伸びて終わり知ればフォローにつながる導線が作れます,
12,"プロフィールはお店の入口
リールが看板やとしても入り口ぐちゃぐちゃやったらお客様入ってきませんよね？",
13,"プロフィールは設計なんですただ書くだけじゃなくて導線の設計図です
",
14,"最低限これだけは確認してください
・リンクは1つだけ
・ハイライトは1〜3枚に厳選
・名前にエリア×ジャンルを明記
・続きを読む前提で書かない
・2行目以内に数字で実績を載せる",
15,これ整えるだけでリールだけ伸びて終わりからファンが残るアカウントに変わります,
16,そらフォロワー増えへんわってちょっと思い当たった人はすぐ直してみてください,
17,投稿バズらせる前に、“入口”直しましょ。フォローされるかどうか、まずプロフィールです,
,,
ネタメモ：メニュー開発は固定概念に囚われてはいけない（リフレーミング）,,
シーン,①セリフを考える（ライティング）,
1,毎回思考停止メニュー、作ってませんか？,
2,メニュー開発するたびに定番に寄るのってなんかモヤッとしません？,
3,つい自分らしさとかうちのお客様はとかで止めてしまうんです,
4,それ思考の悪いクセです,
5,このままやと新作のつもりが記憶に残らへん味の再放送になってしまいます,
6,もっと売れるメニュー出したいって気持ちずっとあるのに、形にできてへん感覚ないですか？,
7,毎日の仕込みで考える時間なんて取れへんのが現実ですよね,
8,チャレンジしたいのに売れへんかったら怖いって、どっかで止めてません？,
9,"でも今のままを続けるほうがお客様はゆっくり離れていきます
",
10,今日は固定概念を外すことでメニュー開発の幅がどう変わるかをお伝えします,
11,"今まではうちらしい味っていうのを守っていた
これからは売れる角度から組めるようになります",
12,具材は変えても味付け一緒やとお客様は同じに見えます,
13,メニューが似てくる理由は思考の深さが足りてないからです,
14,"もし行き詰まったらこの8つの問いが新しい一品を引き出してくれます
①全体の問い：部分より全体で解決するなら？
②主観の問い：あなたの偏愛って何？
③理想の問い：どんな変化を届けたい？
④動詞の問い：その行動再発明できる？
⑤破壊の問い：壊すべき常識は？
⑥目的の問い：それって手段やとしたら？
⑦利他の問い：社会にどう役立つ？
⑧自由の問い：もし、なんでもできるなら？",
